DeptCode,DeptName,DeptNameC,DepartmentGroup,ShortName,DeptUnit,Division,AppraisalPeriod,DepartmentCode,TrainingCode,TrainingTitle,CompetencyType,Active,staffLevel
65,ACI ELECTRICAL,ACI Consumer - Electronics,ACI Electronics,Electronics,Consumer Brands,Consumer Brands,2025-2026,65,3325,Agile Marketing Strategy,Skill,Y,Top
209,ACI Mobile Marketing,ACI Consumer Mobile - Marketing,ACI Mobile,Mobile Marketing,Consumer Brands,Consumer Brands,2025-2026,209,3356,App Marketing Using App Store Optimization (ASO),Skill,Y,Junior
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3092,Lean Management in Supply Chain,Knowledge,Y,Top
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3142,Strategic Demand Planning: Optimize your Business,Skill,Y,Top
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3169,HS Code,Knowledge,Y,Mid
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3100,LC Management,Skill,Y,Mid
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3194,Strategic Sourcing,Skill,Y,Mid
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3090,Supply Chain Excellence: Modern Practices & Global Dynamics,Knowledge,Y,Mid
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3241,Advanced Negotiation Skill,Skill,Y,Mid
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3183,VAT Application for Manufacturers & Traders,Knowledge,Y,Mid
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3147,Incoterms & Freight Cost Optimization,Knowledge,Y,Mid
259,Flour Administration,,ACI Pure Flour Factory,Flour Administration,Consumer Brands,Consumer Brands,2025-2026,259,3377,Bangladesh Labor Law for Admin & HR Professionals,Knowledge,Y,Top
68,ACI Foods Export,ACI FOODS EXPORT ,ACI Foods,Foods Export,Consumer Brands,Consumer Brands,2025-2026,68,3170,"Basic of HVAC design, selection and maintenance",Knowledge,Y,Mid
